 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0001-0957-0450:c:4/4 z:1/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,209.112,45160.564,37080,53416,31.741,67.705,55.202,21.812,12.207,168.334,0.862,1.787,0.560,1.000
2,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0001-0688-0583:c:4/4 z:1/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,104.003,46068.207,38347,52218,41.328,48.616,40.487,16.241,8.153,161.439,0.797,1.992,0.502,1.000
3,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0001-0715-0805:c:4/4 z:1/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,89.177,46439.633,35625,53299,56.431,50.265,39.043,15.312,7.416,8.853,0.735,2.065,0.484,0.981
4,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0001-1575-1150:c:4/4 z:1/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,79.194,48967.940,42192,54349,81.275,111.235,35.279,13.974,7.216,105.803,0.800,1.937,0.516,0.995
5,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0001-1657-1077:c:4/4 z:1/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,71.213,48589.699,37181,54580,76.602,116.794,34.226,13.801,6.570,154.952,0.764,2.101,0.476,1.000
6,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0009-1338-1299:c:4/4 z:9/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,202.670,50848.682,41977,60509,91.835,94.605,54.081,20.970,12.306,159.347,0.871,1.704,0.587,0.995
7,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0009-0799-1561:c:4/4 z:9/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,83.618,53045.969,43081,61448,110.593,55.803,36.526,14.770,7.208,154.606,0.788,2.049,0.488,1.000
8,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0009-1264-0369:c:4/4 z:9/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,44.910,43280.225,33452,51034,25.927,89.448,25.995,10.200,5.606,152.464,0.835,1.820,0.550,1.000
9,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0009-1449-1041:c:4/4 z:9/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,85.964,48595.351,41223,54696,73.765,101.888,33.890,11.528,9.495,138.943,0.941,1.214,0.824,1.000
10,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0009-1180-1467:c:4/4 z:9/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organis,96.336,52632.937,43510,60357,103.597,83.266,35.522,11.590,10.583,141.301,0.959,1.095,0.913,1.000
11,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-0943-0351:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,247.939,46515.958,35047,54516,25.104,66.277,57.484,19.781,15.959,154.620,0.943,1.240,0.807,1.000
12,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-1003-0198:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,74.711,46018.351,39541,56280,14.018,70.659,33.981,13.696,6.945,158.996,0.813,1.972,0.507,1.000
13,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-1140-0484:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,208.110,46401.706,36680,52690,34.177,81.006,53.095,18.214,14.548,9.138,0.928,1.252,0.799,0.996
14,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-0313-0918:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,104.332,54304.255,41973,60969,64.568,22.242,38.962,14.806,8.972,171.538,0.864,1.650,0.606,1.000
15,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-1288-0126:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,120.159,45981.901,38326,51533,9.227,91.178,41.498,15.748,9.715,179.551,0.877,1.621,0.617,0.995
16,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-0871-1698:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,64.234,53149.977,46681,57402,119.813,61.539,30.484,11.591,7.056,157.425,0.869,1.643,0.609,1.000
17,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-0963-1476:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,104.167,52708.871,44486,60066,103.950,67.853,41.054,16.802,7.894,17.738,0.777,2.128,0.470,1.000
18,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0063-1102-1173:c:4/4 z:63/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,66.640,52988.807,44201,61750,82.948,77.682,29.973,10.360,8.190,175.942,0.932,1.265,0.791,1.000
19,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0382-1686:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,185.424,55962.203,45853,65319,119.334,27.423,51.229,17.847,13.229,23.870,0.888,1.349,0.741,1.000
20,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0375-1306:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,125.733,56467.959,46083,65535,92.342,25.987,45.307,18.085,8.852,148.460,0.770,2.043,0.489,0.961
21,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0297-1395:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,104.735,56102.526,50517,62106,98.681,20.594,38.516,14.296,9.328,113.500,0.887,1.533,0.653,1.000
22,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0552-0931:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,145.655,50440.856,44266,56282,65.850,39.041,47.695,19.415,9.552,4.635,0.805,2.033,0.492,1.000
23,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0516-1476:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,105.079,55180.408,44079,63604,104.765,35.828,38.128,12.984,10.304,138.561,0.908,1.260,0.794,1.000
24,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0079-0529-1176:c:4/4 z:79/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,129.230,50512.539,42078,59558,83.017,37.148,50.798,22.815,7.212,151.083,0.629,3.163,0.316,0.993
25,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0079-0429-0745:c:4/4 z:79/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,69.091,54966.497,45191,62791,52.374,30.492,30.981,10.774,8.165,160.638,0.905,1.320,0.758,1.000
26,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0079-1767-0820:c:4/4 z:79/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,187.920,50976.056,43826,58024,57.959,124.984,50.239,17.313,13.820,120.587,0.936,1.253,0.798,1.000
27,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0079-1827-0648:c:4/4 z:79/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,46.748,49086.911,40862,55086,45.601,129.226,25.604,9.104,6.538,128.641,0.896,1.393,0.718,0.998
28,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0039-1212-1155:c:4/4 z:39/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,167.759,51382.629,40141,59756,81.314,85.588,48.211,17.842,11.971,155.442,0.907,1.490,0.671,0.997
29,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0039-1743-1134:c:4/4 z:39/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,91.718,50712.762,40761,57091,80.051,123.141,36.430,14.080,8.294,153.640,0.868,1.698,0.589,1.000
30,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0039-0664-0733:c:4/4 z:39/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,267.876,50071.323,40370,56030,51.732,46.738,75.446,34.285,9.948,165.827,0.591,3.446,0.290,0.989
31,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0039-1647-0616:c:4/4 z:39/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,85.127,49181.170,41629,58105,43.730,116.538,34.162,11.365,9.537,104.871,0.917,1.192,0.839,1.000
32,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0061-1045-1108:c:4/4 z:61/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,63.173,53419.677,43338,60060,78.256,74.026,29.739,10.857,7.409,160.989,0.898,1.465,0.682,0.999
33,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0061-1179-1564:c:4/4 z:61/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,90.164,53068.854,45637,61822,110.448,83.148,34.468,11.521,9.964,92.950,0.954,1.156,0.865,1.000
34,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0061-1326-0292:c:4/4 z:61/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,53.563,44069.784,37866,49912,20.781,93.606,27.039,9.527,7.158,178.939,0.921,1.331,0.751,1.000
35,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0072-0447-0628:c:4/4 z:72/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,61.350,53403.873,44009,61336,44.258,31.507,28.463,9.340,8.363,51.622,0.952,1.117,0.895,0.997
36,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism1.czi - C=3:0098-0337-1549:c:4/4 z:98/98 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organi,72.558,56418.689,44463,65368,109.441,23.515,31.481,10.745,8.598,144.645,0.920,1.250,0.800,1.000
